Game,Release date,Discount,Old price,Current Price

STEINS;GATE,9 Sep, 2016,-50%,31.99€,
The Elder Scrolls V: Skyrim Special Edition,27 Oct, 2016,-50%,39.99€,
NieR:Automata™,17 Mar, 2017,-35%,59.99€,
Osiris: New Dawn,28 Sep, 2016,-33%,22.99€,
Miscreated,30 Oct, 2014,-50%,19.99€,
Planetbase,15 Oct, 2015,-40%,19.99€,
Men of War: Assault Squad 2,15 May, 2014,-80%,24.99€,
Thimbleweed Park™,30 Mar, 2017,-33%,19.99€,
Crypt of the NecroDancer,23 Apr, 2015,-75%,14.99€,
Men of War: Assault Squad 2 - Deluxe Edition upgrade,16 May, 2014,-75%,6.99€,
Men of War: Assault Squad 2 - Iron Fist,19 Feb, 2015,-75%,9.99€,
Men of War: Assault Squad 2 - Airborne,4 Jun, 2015,-75%,9.99€,
Car Mechanic Simulator 2015,1 Apr, 2015,-90%,19.99€,
Car Mechanic Simulator 2015 - Youngtimer,2 May, 2015,-90%,24.99€,
Car Mechanic Simulator 2015 - PickUp & SUV,18 Aug, 2015,-80%,2.99€,
Car Mechanic Simulator 2015 - Trader Pack,3 Jul, 2015,-80%,3.99€,
Farming Simulator 17,24 Oct, 2016,-10%,34.99€,
Gal*Gun: Double Peace,27 Sep, 2016,-75%,36.99€,
Thumper,10 Oct, 2016,-40%,19.99€,
TRANSFORMERS: Devastation,6 Oct, 2015,-80%,39.99€,
911 Operator,24 Feb, 2017,-40%,14.99€,
Transformers™: Fall of Cybertron™,21 Aug, 2012,-80%,49.99€,
The Fruit of Grisaia,29 May, 2015,-50%,36.99€,
Late Shift,18 Apr, 2017,-30%,12.99€,
Kindergarten,15 Jun, 2017,-20%,4.99€,