Game,Release date,Discount,Old price,Current Price

Grand Theft Auto V,13 Apr, 2015,-40%,59','99€,35','99€							
Fallout 4,10 Nov, 2015,-67%,59','99€,19','79€							
State of Decay: YOSE,27 Apr, 2015,-75%,27','99€,6','99€							
Black Desert Online,24 May, 2017,-40%,9','99€,5','99€							
Fallout 4 Season Pass,5 Apr, 2016,-40%,49','99€,29','99€							
NEKOPARA Vol. 3,25 May, 2017,-10%,9','99€,8','99€							
Don't Starve Together,21 Apr, 2016,-35%,14','99€,9','74€							
SUPERHOT VR,25 May, 2017,-20%,22','99€,18','39€							
Sniper Ghost Warrior 3,24 Apr, 2017,-20%,49','99€,39','99€							
Don't Starve: Shipwrecked,1 Dec, 2015,-30%,4','99€,3','49€							
Don't Starve: Reign of Giants,30 Apr, 2014,-75%,4','99€,1','24€							
Day of Infamy,23 Mar, 2017,-25%,19','99€,14','99€							
Planet Nomads,25 May, 2017,-10%,27','99€,25','19€							
Gauntlet™ Slayer Edition,23 Sep, 2014,-75%,19','99€,4','99€							
Day of the Tentacle Remastered,21 Mar, 2016,-70%,14','99€,4','49€							
Beat Cop,30 Mar, 2017,-25%,14','99€,11','24€							
StarCrawlers,23 May, 2017,-25%,19','99€,14','99€							
Nidhogg,13 Jan, 2014,-65%,9','99€,3','49€							
Brutal Legend,26 Feb, 2013,-85%,14','99€,2','24€							
Grim Fandango Remastered,26 Jan, 2015,-75%,14','99€,3','74€							
Mirage: Arcane Warfare,23 May, 2017,-10%,27','99€,25','19€							
60 Seconds!,25 May, 2015,-50%,9','99€,4','99€							
Railroad Tycoon II Platinum,4 May, 2007,-75%,4','99€,1','24€							
Trine 2: Complete Story,7 Dec, 2011,-85%,16','99€,2','54€							
Thumper,10 Oct, 2016,-30%,19','99€,13','99€							